Package Name,Version,Official Link,Creator,Creator Profile Link,Description
typesense,3.0.6,https://www.npmjs.com/package/typesense,tharropoulos,https://www.npmjs.com/~tharropoulos,Javascript Library for Typesense
@asyncapi/parser,3.6.0,https://www.npmjs.com/package/@asyncapi/parser,GitHub Actions,https://www.npmjs.com/~GitHub Actions,JavaScript AsyncAPI parser.
@tracetail/js,2.3.11,https://www.npmjs.com/package/@tracetail/js,tracetail-publisher,https://www.npmjs.com/~tracetail-publisher,TraceTail JavaScript SDK for browser fingerprinting
@esbuild/freebsd-arm64,0.28.0,https://www.npmjs.com/package/@esbuild/freebsd-arm64,GitHub Actions,https://www.npmjs.com/~GitHub Actions,"The FreeBSD ARM 64-bit binary for esbuild, a JavaScript bundler."
dpop,2.1.1,https://www.npmjs.com/package/dpop,panva,https://www.npmjs.com/~panva,DPoP (RFC9449) for JavaScript Runtimes
estree-util-is-identifier-name,3.0.0,https://www.npmjs.com/package/estree-util-is-identifier-name,wooorm,https://www.npmjs.com/~wooorm,Check if something can be an ecmascript (javascript) identifier name
velocity-animate,1.5.2,https://www.npmjs.com/package/velocity-animate,rycochet,https://www.npmjs.com/~rycochet,Accelerated JavaScript animation.
@solana/assertions,6.8.0,https://www.npmjs.com/package/@solana/assertions,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Helpers for asserting that a JavaScript environment supports certain features necessary for the operation of the Solana JavaScript SDK
neo4j-driver,6.0.1,https://www.npmjs.com/package/neo4j-driver,neo4j-organization,https://www.npmjs.com/~neo4j-organization,The official Neo4j driver for Javascript
@esbuild/linux-loong64,0.28.0,https://www.npmjs.com/package/@esbuild/linux-loong64,GitHub Actions,https://www.npmjs.com/~GitHub Actions,"The Linux LoongArch 64-bit binary for esbuild, a JavaScript bundler."
js-confuser,2.0.1,https://www.npmjs.com/package/js-confuser,michaelxf,https://www.npmjs.com/~michaelxf,JavaScript Obfuscation Tool.
@sendbird/chat,4.22.1,https://www.npmjs.com/package/@sendbird/chat,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Sendbird SDK for JavaScript
yaml-types,0.4.0,https://www.npmjs.com/package/yaml-types,eemeli,https://www.npmjs.com/~eemeli,Useful JavaScript types for YAML
node-forge,1.4.0,https://www.npmjs.com/package/node-forge,davidlehn,https://www.npmjs.com/~davidlehn,"JavaScript implementations of network transports, cryptography, ciphers, PKI, message digests, and various utilities."
@honeybadger-io/core,6.7.2,https://www.npmjs.com/package/@honeybadger-io/core,joshuap,https://www.npmjs.com/~joshuap,JavaScript error notifier for Honeybadger.io
typpy,2.4.0,https://www.npmjs.com/package/typpy,ionicabizau,https://www.npmjs.com/~ionicabizau,A better typeof for JavaScript.
bit-twiddle,1.0.2,https://www.npmjs.com/package/bit-twiddle,mikolalysenko,https://www.npmjs.com/~mikolalysenko,Bit twiddling hacks for JavaScript
testem,3.20.0,https://www.npmjs.com/package/testem,johanneswuerbach,https://www.npmjs.com/~johanneswuerbach,Test'em 'scripts! Javascript Unit testing made easy.
pbf,4.0.1,https://www.npmjs.com/package/pbf,mapbox-npm-02,https://www.npmjs.com/~mapbox-npm-02,"a low-level, lightweight protocol buffers implementation in JavaScript"
gl-matrix,3.4.4,https://www.npmjs.com/package/gl-matrix,toji,https://www.npmjs.com/~toji,Javascript Matrix and Vector library for High Performance WebGL apps
@coinbase/wallet-sdk,4.3.7,https://www.npmjs.com/package/@coinbase/wallet-sdk,coinbase-npm,https://www.npmjs.com/~coinbase-npm,Coinbase Wallet JavaScript SDK
deepmerge,4.3.1,https://www.npmjs.com/package/deepmerge,tehshrike,https://www.npmjs.com/~tehshrike,A library for deep (recursive) merging of Javascript objects
swarm-js,0.1.42,https://www.npmjs.com/package/swarm-js,maiavictor,https://www.npmjs.com/~maiavictor,Swarm tools for JavaScript.
gulp-babel,8.0.0,https://www.npmjs.com/package/gulp-babel,loganfsmyth,https://www.npmjs.com/~loganfsmyth,"Use next generation JavaScript, today"
super-three,0.181.0,https://www.npmjs.com/package/super-three,dmarcos,https://www.npmjs.com/~dmarcos,JavaScript 3D library
@aws-amplify/amplify-frontend-javascript,3.10.25,https://www.npmjs.com/package/@aws-amplify/amplify-frontend-javascript,aws-amplify-ops,https://www.npmjs.com/~aws-amplify-ops,amplify-cli front-end plugin for JavaScript projects
qr-scanner,1.4.2,https://www.npmjs.com/package/qr-scanner,danimoh,https://www.npmjs.com/~danimoh,A javascript QR scanner library
super-animejs,3.1.0,https://www.npmjs.com/package/super-animejs,ngokevin,https://www.npmjs.com/~ngokevin,JavaScript animation engine
@types/javascript-color-gradient,2.4.2,https://www.npmjs.com/package/@types/javascript-color-gradient,types,https://www.npmjs.com/~types,TypeScript definitions for javascript-color-gradient
raphael,2.3.0,https://www.npmjs.com/package/raphael,talabes,https://www.npmjs.com/~talabes,JavaScript Vector Library
apify-client,2.23.0,https://www.npmjs.com/package/apify-client,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Apify API client for JavaScript
microsoft-cognitiveservices-speech-sdk,1.49.0,https://www.npmjs.com/package/microsoft-cognitiveservices-speech-sdk,microsoft1es,https://www.npmjs.com/~microsoft1es,Microsoft Cognitive Services Speech SDK for JavaScript
graphql-tag,2.12.6,https://www.npmjs.com/package/graphql-tag,apollo-bot,https://www.npmjs.com/~apollo-bot,A JavaScript template literal tag that parses GraphQL queries
pdfmake,0.3.7,https://www.npmjs.com/package/pdfmake,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Client/server side PDF printing in pure JavaScript
@directus/sdk,21.2.2,https://www.npmjs.com/package/@directus/sdk,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Directus JavaScript SDK
@posthog/types,1.372.3,https://www.npmjs.com/package/@posthog/types,GitHub Actions,https://www.npmjs.com/~GitHub Actions,Type definitions for the PostHog JavaScript SDK
graphemer,1.4.0,https://www.npmjs.com/package/graphemer,mattpauldavies,https://www.npmjs.com/~mattpauldavies,A JavaScript library that breaks strings into their individual user-perceived characters (including emojis!)
